Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Miles Robinson,Atlanta United FC,12,Defender,Arlington,Massachusetts,United States of America,23,"6' 2""",185
Luis Robles,Inter Miami CF,31,Goalkeeper,,,,36,"6' 0""",200
Tony Rocha,New York City FC,15,Midfielder,Spring,Texas,United States of America,27,"5' 9""",166
Allan Rodriguez,Chicago Fire FC,39,Midfielder,,,,16,"5' 6""",153
Abraham Rodriguez,Colorado Rapids,30,Goalkeeper,,,,18,"5' 9""",165
Memo Rodriguez,Houston Dynamo FC,8,Midfielder,El Campo,Texas,United States of America,24,"5' 8""",142
Brian Rodriguez,Los Angeles Football Club,17,Forward,Tranqueras,,Uruguay,20,"5' 8""",150
Cristian Roldan,Seattle Sounders FC,7,Midfielder,,,,25,"5' 8""",165
Alex Roldan,Seattle Sounders FC,16,Defender,Pico Rivera,California,United States of America,24,"5' 10""",155
Rocco Romeo,Toronto FC,12,Defender,Toronto,Ontario,Canada,20,"6' 2""",162
Alejandro Romero Gamarra,New York Red Bulls,10,Midfielder,Ciudadela,,Argentina,25,"5' 7""",150
Dave Romney,Nashville SC,4,Defender,Irvine,California,United States of America,27,"6' 2""",190
Eloy Room,Columbus Crew SC,1,Goalkeeper,,,,31,"6' 2""",179
Andy Rose,Vancouver Whitecaps FC,15,Midfielder,Bristol,,England,30,"6' 2""",175
Oriol Rosell,Orlando City SC,20,Midfielder,,,,28,"6' 0""",168
Keegan Rosenberry,Colorado Rapids,2,Defender,Ronks,Pennsylvania,United States of America,26,"5' 8""",160
Matheus Rossetto,Atlanta United FC,9,Midfielder,Santo Amaro da Imperatriz,,Brazil,24,"5' 11""",
Diego Rossi,Los Angeles Football Club,9,Forward,,,,22,"5' 7""",146
Giuseppe Rossi,Real Salt Lake,7,Forward,,,,33,"5' 8""",159
Brian Rowe ,Orlando City SC,23,Goalkeeper,Eugene,Oregon,United States of America,32,"6' 1""",185
Kelyn Rowe,New England Revolution,11,Midfielder,Federal Way,Washington,United States of America,29,"5' 8""",150
Daniel Royer,New York Red Bulls,77,Midfielder,Schladming,,Austria,30,"5' 10""",160
Diego Rubio,Colorado Rapids,11,Forward,Santiago,,Chile,27,"5' 11""",170
Raul Ruidiaz ,Seattle Sounders FC,9,Forward,,,,30,"5' 7""",145
Pablo Ruiz,Real Salt Lake,6,Midfielder,Comodoro Rivadavia,,Argentina,21,"5' 7""",145
Albert Rusnak,Real Salt Lake,11,Midfielder,Kosice,,Slovakia,26,"5' 9""",161
Johnny Russell,Sporting Kansas City,7,Midfielder,Glasgow,,Scotland,30,"5' 10""",168
Abdul Rwatubyaye,Colorado Rapids,14,Defender,Kigali,,Rwanda,24,"6' 1""",175
Marc Rzatkowski,New York Red Bulls,90,Midfielder,,,,30,"5' 7""",143
Steeven Saba,Montreal Impact,19,Midfielder,Port-au-Prince,,Haiti,27,"5' 7""",165
Michael Salazar,Houston Dynamo FC,19,Forward,Cayo,,Belize,28,"5' 11""",165
Adam Saldana,LA Galaxy,,Forward,,,,0,
Shea Salinas,San Jose Earthquakes,6,Defender,Grapevine,Texas,United States of America,34,"5' 10""",150
Daniel Salloi,Sporting Kansas City,20,Forward,Budapest,,Hungary,24,"6' 1""",150
Ilie Sanchez,Sporting Kansas City,6,Midfielder,Barcelona,,Spain,30,"5' 11""",170
Richard Sanchez,Sporting Kansas City,1,Goalkeeper,,,,26,"6' 3""",197
James Sands,New York City FC,16,Defender/Midfielder,,,,20,"6' 1""",185
Sergio Santos,Philadelphia Union,17,Forward,Belo Horizonte,,Brazil,26,"6' 0""",181
Thiago Santos,FC Dallas,5,Midfielder,Sao Paulo,,Brazil,31,"5' 11""",167
Pedro Santos,Columbus Crew SC,7,Midfielder,Lisbon,,Portugal,32,"5' 6""",139
Joe Scally,New York City FC,25,Defender,,,,17,"5' 10""",
Rodrigo Schlegel,Orlando City SC,15,Defender,Remedios de Escalada,,Argentina,23,"5' 11""",
Tate Schmitt,Real Salt Lake,21,Forward,Phoenix,Arizona,United States of America,23,"5' 11""",161
Aaron Schoenfeld ,Minnesota United FC,12,Forward,,,,30,"6' 4""",190
Brady Scott,Nashville SC,31,Goalkeeper,Petaluma,California,United States of America,21,"6' 2""",172
Patrick Seagrist,New York Red Bulls,7,Defender,Steamwood,Illinois,United States of America,22,"6' 0""",170
Dante Sealy,FC Dallas,31,Forward,Frisco,Texas,United States of America,17,"5' 10""",135
Mark Segbers,Los Angeles Football Club,,Defender,St. Louis,Missouri,United States of America,24,"5' 9""",158
Ulises Segura,D.C. United,8,Midfielder,Goicoechea,,Costa Rica,27,"6' 0""",154
Eddie Segura,Los Angeles Football Club,4,Defender,Pereira,,Colombia,23,"5' 9""",155
Chris Seitz,D.C. United,1,Goalkeeper,San Luis Obispo,California,United States of America,33,"6' 3""",236
Amar Sejdic,Montreal Impact,14,Midfielder,Louisville,Kentucky,United States of America,24,"5' 10""",158
Boris Sekulic,Chicago Fire FC,2,Defender,Belgrade,,DFR Yugoslavia,29,"6' 2""",161
Brandon Servania,FC Dallas,18,Midfielder,Dallas,Texas,United States of America,21,"5' 10""",160
Jacob Shaffelburg,Toronto FC,24,Midfielder,,,,21,"5' 10""",150
Brek Shea,Inter Miami CF,28,Midfielder/Defender,College Station,Texas,United States of America,30,"6' 3""",180
Khiry Shelton,Sporting Kansas City,11,Forward,Leander,Texas,United States of America,27,"6' 3""",185
Andre Shinyashiki,Colorado Rapids,99,Forward,Sao Paulo,,Brazil,23,"5' 9""",150
Shamit Shome,Montreal Impact,28,Midfielder,Edmonton,Alberta,Canada,23,"5' 9""",155
Bobby Shuttleworth,Chicago Fire FC,1,Goalkeeper,Tonawanda,New York,United States of America,33,"6' 2""",205
Marcelo Silva,Real Salt Lake,30,Defender,,,,31,"6' 2""",181
Kevin Silva,Toronto FC,90,Goalkeeper,Bethlehem,Pennsylvania,United States of America,22,"6' 0""",189
Judson,San Jose Earthquakes,93,Midfielder,Arês,,Brazil,27,"5' 6""",143
Seth Sinovic,New England Revolution,16,Defender,Leawood,Kansas,United States of America,33,"5' 10""",170
Jonathan Sirois,Montreal Impact,,Goalkeeper,Saint-Hubert,Quebec,Canada,19,"6' 0""",163
Pablo Sisniega,Los Angeles Football Club,23,Goalkeeper,Mexico City,,Mexico,25,"6' 3""",175
Axel Sjöberg,D.C. United,44,Defender,Stockholm,,Sweden,29,"6' 7""",210
Jack Skahan,San Jose Earthquakes,16,Midfielder,Memphis,Tennessee,United States of America,22,"5' 10""",165
Jorgen Skjelvik,LA Galaxy,16,Defender,,,,29,"6' 0""",170
Gabriel Slonina,Chicago Fire FC,32,Goalkeeper,,,,16,"6' 4""",196
Nicholas Slonina,Chicago Fire FC,25,Defender,Addison,Illinois,United States of America,19,"6' 3""",200
Graham Smith,Sporting Kansas City,16,Defender,Highlands Ranch,Colorado,United States of America,25,"6' 3""",186
Kyle Smith,Orlando City SC,24,Defender,Cincinnati,Ohio,United States of America,28,"5' 11""",180
Brad Smith,Seattle Sounders FC,2,Defender,Penrith,,Australia,26,"5' 10""",155
Erik Sorga,D.C. United,50,Forward,,,,21,"5' 9""",166
Dayne St. Clair,Minnesota United FC,97,Goalkeeper,Pickering,Ontario,Canada,23,"6' 3""",165
Mason Stajduhar,Orlando City SC,31,Goalkeeper,,,,23,"6' 2""",190
Caleb Stanko,FC Cincinnati,33,Midfielder,Holly,Michigan,United States of America,27,"5' 11""",179
Daniel Steres ,LA Galaxy,5,Defender,Calabasas,California,United States of America,30,"6' 0""",175
Luka Stojanovic,Chicago Fire FC,8,Midfielder,Belgrade,,Serbia,26,"6' 2""",183
Jared Stroud,New York Red Bulls,8,Midfielder,Chester,New Jersey,United States of America,24,"5' 10""",160
Aljaz Struna,Houston Dynamo FC,6,Defender,Piran,,Slovenia,30,"6' 2""",185
Brad Stuver,New York City FC,41,Goalkeeper,Twinsburg,Ohio,United States of America,29,"6' 3""",180
Beckham Sunderland,FC Cincinnati,30,Goalkeeper,,,Cincinnati,17,"6' 1""",170,** flag to manually check these geos
Gustav Svensson,Seattle Sounders FC,4,Midfielder/Defender,Gothenburg,,Sweden,33,"6' 0""",155
Ben Sweat,Inter Miami CF,22,Defender,Palm Harbor,Florida,United States of America,29,"6' 2""",175
Ballou Jean-Yves Tabla,Montreal Impact,17,Midfielder,Abidjan,,Ivory Coast,21,"5' 9""",154
Ismael Tajouri-Shradi,New York City FC,29,Midfielder,Bern,,Switzerland,26,"5' 6""",141
Andrew Tarbell,Columbus Crew SC,13,Goalkeeper,Mandeville,Louisiana,United States of America,27,"6' 3""",194
Amro Tarek,New York Red Bulls,3,Defender,Asyut,,Egypt,28,"6' 3""",194
Russell Teibert,Vancouver Whitecaps FC,31,Midfielder,Niagara Falls,Ontario,Canada,27,"5' 8""",150
Ruan,Orlando City SC,2,Defender,Rio de Janeiro,,Brazil,25,"5' 7""",
Carlos Teran,Chicago Fire FC,,Defender,Turbo,,Colombia,20,"6' 2""",187
Tanner Tessmann,FC Dallas,15,Midfielder,Hoover,Alabama,United States of America,19,"6' 2""",190
Samuel Tetteh,New York Red Bulls,11,Forward,Accra,,Ghana,24,"5' 11""",
Tommy Thompson,San Jose Earthquakes,22,Defender,Loomis,California,United States of America,25,"5' 7""",145
Gudmundur Thórarinsson,New York City FC,20,Defender,Selfoss,,Iceland,28,"5' 10""",170
Anton Tinnerholm,New York City FC,3,Defender,,,,29,"5' 9""",150
Donny Toia,Real Salt Lake,4,Defender,Tucson,Arizona,United States of America,28,"5' 8""",160
John Tolkin,New York Red Bulls,47,Defender,,,,18,"5' 7""",
Nouhou Tolo,Seattle Sounders FC,5,Defender,Douala,,Cameroon,23,"5' 10""",175
Roman Torres,Seattle Sounders FC,,Defender,,,,34,"6' 2""",195
Erick Torres,Atlanta United FC,31,Forward,,,,27,"5' 11""",168
Christian Torres,Los Angeles Football Club,21,Forward,,,,16,"5' 10""",140
Juan Pablo Torres,New York City FC,14,Midfielder,Lilburn,Georgia,United States of America,21,"5' 8""",162
Mason Toye,Montreal Impact,13,Forward,South Orange,New Jersey,United States of America,22,"6' 3""",180
Diedie Traore,LA Galaxy,50,Defender,,,,21,"6' 0""",180
Mohamed Traore,Los Angeles Football Club,3,Defender,Dakar,,Senegal,18,"6' 1""",156
Wil Trapp,Inter Miami CF,6,Midfielder,,,,27,"5' 8""",150
Ken Tribbett,Nashville SC,16,Defender,Centennial,Colorado,United States of America,28,"6' 2""",170
Auston Trusty,Colorado Rapids,5,Defender,,,,22,"6' 3"""
Bill Tuiloma,Portland Timbers,25,Defender,Otahuhu,,New Zealand,25,"5' 10""",175
Cole Turner,Philadelphia Union,13,Midfielder,Churchville,Maryland,United States of America,19,"6' 1""",175
Matt Turner,New England Revolution,30,Goalkeeper,Park Ridge,New Jersey,United States of America,26,"6' 3""",175
Ema Twumasi,FC Dallas,22,Forward,Accra,,Ghana,23,"5' 8""",160
Przemyslaw Tyton,FC Cincinnati,22,Goalkeeper,Zamość,,Poland,33,"6' 5""",195
Victor Ulloa,Inter Miami CF,13,Midfielder,Wylie,Texas,United States of America,28,"5' 11""",165
Denso Ulysse,Inter Miami CF,36,Defender,,,,22,"5' 8""",133
Maximiliano Urruti,Montreal Impact,37,Forward,,,,29,"6' 0""",165
Zarek Valentin,Houston Dynamo FC,4,Defender,Lancaster,Pennsylvania,United States of America,29,"5' 11""",156
Milton Valenzuela,Columbus Crew SC,19,Defender,Rosario,,Argentina,22,"5' 6""",145
Diego Valeri,Portland Timbers,8,Midfielder,,,,34,"5' 10""",165
Florian Valot,New York Red Bulls,22,Midfielder,Pau,,France,27,"5' 9""",153
Maikel van der Werff,FC Cincinnati,23,Defender,Hoorn,,Netherlands,31,"6' 1""",181
Brandon Vazquez,FC Cincinnati,19,Forward,,,,22,"6' 3""",175
Julian Vazquez,Real Salt Lake,27,Forward,Nibley,Utah,United States of America,19,"5' 11""",145
Daniel Vega,San Jose Earthquakes,17,Goalkeeper,Cutral Co,,Argentina,36,"6' 2""",200
Carlos Vela,Los Angeles Football Club,10,Forward,Cancun,,Mexico,31,"5' 10""",
Matias Vera,Houston Dynamo FC,22,Midfielder,Merlo,,Argentina,25,"5' 7""",155
Collin Verfuth,New England Revolution,35,Defender,Ashburn,Virginia,United States of America,24,"6' 3""",185
Kenneth Vermeer,Los Angeles Football Club,1,Goalkeeper,,,,34,"6' 0""",175
Ranko Veselinovic,Vancouver Whitecaps FC,4,Defender,Novi Sad,,Serbia,21,"6' 2""",170
Jorge Villafaña,Portland Timbers,4,Defender,Anaheim,California,United States of America,31,"5' 9""",150
Sam Vines,Colorado Rapids,13,Defender,Colorado Springs,Colorado,United States of America,21,"5' 10""",150
Will Vint,Colorado Rapids,16,Midfielder,Colorado Springs,Colorado,United States of America,19,"6' 2""",174
Justin Vom Steeg,LA Galaxy,41,Goalkeeper,,,,23,"6' 4""",200
Kai Wagner,Philadelphia Union,27,Defender,Ulm,,Germany,23,"6' 0""",172
Anton Walkes,Atlanta United FC,4,Defender,,,,23,"6' 2""",
Casey Walls,San Jose Earthquakes,77,Defender,Mill Valley,California,United States of America,17,"6' 2""",173
Wan Kuzain Wan Kamal,Sporting Kansas City,75,Midfielder,Carbondale,Illinois,United States of America,22,"5' 10""",160
Victor Wanyama,Montreal Impact,2,Midfielder,,,,29,"6' 2""",175
Collen Warner,Colorado Rapids,32,Midfielder,,,,32,"5' 10""",178
Taylor Washington,Nashville SC,23,Defender,Somers,New York,United States of America,27,"5' 10""",174
Joel Waterman,Montreal Impact,16,Defender,,,,24,"6' 2""",165
Quentin Westberg,Toronto FC,16,Goalkeeper,,,,34,"6' 1""",174
Brian White,New York Red Bulls,42,Forward,Flemington,New Jersey,United States of America,24,"5' 10""",170
Gordon Wild,LA Galaxy,31,Midfielder,Leonberg,,Germany,25,"5' 10""",172
Josh Williams,Columbus Crew SC,3,Defender,,,,32,"6' 2""",192
JJ Williams,Atlanta United FC,24,Forward,Montgomery,Alabama,United States of America,22,"6' 4""",200
Eryk Williamson,Portland Timbers,30,Midfielder,,,,23,"5' 9""",155
Joe Willis,Nashville SC,1,Goalkeeper,,,,32,"6' 5""",189
Danny Wilson,Colorado Rapids,4,Defender,,,,28,"6' 2""",174
Alan Winn,Nashville SC,19,Forward,Garland,Texas,United States of America,24,"5' 10""",165
Tyler Wolff,Atlanta United FC,28,Midfielder,Braselton,Georgia,United States of America,17,"5' 9""",154
Chris Wondolowski,San Jose Earthquakes,8,Forward,Danville,California,United States of America,37,"6' 0""",165
Andrew Wooten,Philadelphia Union,7,Forward,Bamberg,,Germany,31,"6' 1""",187
Vito Wormgoor,Columbus Crew SC,5,Defender,Leersum,,Netherlands,32,"6' 2""",179
Bradley Wright-Phillips,Los Angeles Football Club,66,Forward,,,,35,"5' 8""",155
Laurence Wyke,Atlanta United FC,27,Midfielder,Bolton,,England,24,"6' 1""",180
Deklan Wynne,Colorado Rapids,27,Defender,Auckland,,New Zealand,25,"5' 10""",165
Karifa Yao,Montreal Impact,24,Defender,Laval,Quebec,Canada,20,"6' 2""",178
William Yarbrough,Colorado Rapids,50,Goalkeeper,,,,31,"6' 2""",141
Dru Yearwood,New York Red Bulls,16,Midfielder,Harlow,,England,20,"5' 9""",
Griffin Yow,D.C. United,22,Forward,,,,18,"5' 7""",135
Jackson Yueill,San Jose Earthquakes,14,Midfielder,Bloomington,Minnesota,United States of America,23,"5' 10""",165
Wilfried Zahibo,Houston Dynamo FC,6,Midfielder,Marseille,,France,27,"6' 2""",175
Renzo Zambrano,Portland Timbers,40,Midfielder,,,,26,"5' 7""",150
Gyasi Zardes,Columbus Crew SC,11,Forward,,,,29,"6' 1""",187
Eriq Zavaleta,Toronto FC,3,Defender,Westfield,Indiana,United States of America,28,"6' 1""",185
Gedion Zelalem,New York City FC,23,Midfielder,Berlin,,Germany,23,"5' 11""",155
Lucas Zelarayan,Columbus Crew SC,10,Midfielder,Cordoba,,Argentina,28,"5' 8""",155
Adrian Zendejas,Minnesota United FC,,Goalkeeper,Chula Vista,California,United States of America,25,"6' 5""",185
Reto Ziegler,FC Dallas,3,Defender,Geneva,,Switzerland,34,"6' 0""",176
Walker Zimmerman,Nashville SC,25,Defender,Lawrenceville,Georgia,United States of America,27,"6' 3""",185
Kyle Zobeck,FC Dallas,30,Goalkeeper,Coralville,Iowa,United States of America,30,"6' 0""",180
Ethan Zubak,LA Galaxy,29,Forward,,,,22,"6' 0""",165
Dario Zuparic,Portland Timbers,13,Defender,,,,28,"6' 1""",185
Graham Zusi,Sporting Kansas City,8,Defender,Longwood,Florida,United States of America,34,"5' 10""",160
