Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
John McCarthy,Inter Miami CF,1,Goalkeeper,Cinnaminson,New Jersey,United States of America,28,"6' 3""",180
John Nelson,FC Dallas,26,Defender,Medina,Ohio,United States of America,22,"5' 9""",160
John Pulskamp,Sporting Kansas City,24,Goalkeeper,Bakersfield,California,United States of America,19,"6' 2""",190
John Tolkin,New York Red Bulls,47,Defender,Chatham,New Jersey,United States of America,18,"5' 7""",
Johnny Russell,Sporting Kansas City,7,Midfielder,Glasgow,,Scotland,30,"5' 10""",168
Jon Gallagher,Atlanta United FC,26,Forward,Dundalk,,Ireland,24,"5' 9""",158
Jon Kempin,Columbus Crew SC,24,Goalkeeper,Leawood,Kansas,United States of America,27,"6' 1""",170
Jonathan Bornstein,Chicago Fire FC,3,Defender,Los Alamitos,California,United States of America,36,"5' 8""",165
Jonathan dos Santos,LA Galaxy,8,Midfielder,Monterrey,,Mexico,30,"5' 8""",160
Jonathan Klinsmann,LA Galaxy,33,Goalkeeper,Munich,,Germany,23,"6' 4""",164
Jonathan Lewis,Colorado Rapids,7,Midfielder,Plantation,Florida,United States of America,23,"5' 7""",150
Jonathan Mensah,Columbus Crew SC,4,Defender,Prampram,,Ghana,30,"6' 2""",183
Jonathan Osorio,Toronto FC,21,Midfielder,Brampton,Ontario,Canada,28,"5' 9""",161
Jonathan Perez,LA Galaxy,56,Midfielder,Pico Rivera,California,United States of America,17,"5' 6""",135
Jonathan Sirois,Montreal Impact,,Goalkeeper,Saint-Hubert,Quebec,Canada,19,"6' 0""",163
Jordan Bender,Orlando City SC,33,Midfielder,Lake Mary,Florida,United States of America,19,"5' 9""",150
Jordan Hamilton,Columbus Crew SC,17,Forward,Scarborough,Ontario,Canada,24,"6' 0""",194
Jordan Harvey,Los Angeles Football Club,2,Defender,Mission Viejo,California,United States of America,36,"5' 11""",170
Jordan Morris,Seattle Sounders FC,13,Forward,Mercer Island,Washington,United States of America,26,"5' 11""",185
Jordan Perruzza,Toronto FC,,Forward,Toronto,Ontario,Canada,19,"6' 1""",182
Jordy Delem,Seattle Sounders FC,8,Midfielder,Fort-de-France,,Martinique,27,"5' 11""",156
Jorge Corrales,Montreal Impact,26,Defender,Pinar del Rio,,Cuba,29,"5' 9""",150
Jorge Villafaña,Portland Timbers,4,Defender,Anaheim,California,United States of America,31,"5' 9""",150
Jorgen Skjelvik,LA Galaxy,16,Defender,Baerum,,Norway,29,"6' 0""",170
Jose Aja,Minnesota United FC,4,Defender,Montevideo,,Uruguay,27,"6' 4""",185
Jose Andres Martinez,Philadelphia Union,8,Midfielder,Maracaibo,,Venezuela,26,"5' 9""",152
Jose Bizama FC,Houston Dynamo,18,Defender,Curanilahue,,Chile,26,"5' 11""",165
Jose Cifuentes,Los Angeles Football Club,11,Midfielder,Esmeraldas,,Ecuador,21,"5' 8""",155
Josef Martinez,Atlanta United FC,7,Forward,Valencia,,Venezuela,27,"5' 6""",
Joseph Mora,D.C. United,28,Defender,Carrizal,,Costa Rica,27,"5' 9""",132
Joseph-Claude Gyau,FC Cincinnati,36,Midfielder,Silver Spring,Maryland,United States of America,28,"5' 9""",165
Josh Atencio,Seattle Sounders FC,84,Midfielder,Bellevue,Washington,United States of America,18,"6' 1""",174
Josh Williams,Columbus Crew SC,3,Defender,Akron,Ohio,United States of America,32,"6' 2""",192
Josue Colman,Orlando City SC,,Midfielder,Asuncion,,Paraguay,22,"5' 6""",156
Jozy Altidore,Toronto FC,17,Forward,Boca Raton,Florida,United States of America,31,"6' 0""",175
JT Marcinkowski,San Jose Earthquakes,18,Goalkeeper,Alamo,California,United States of America,23,"6' 1""",185
Juan Agudelo,Inter Miami CF,12,Forward,Barnegat Township,New Jersey,United States of America,28,"6' 1""",183
Juan Pablo Torres,New York City FC,14,Midfielder,Lilburn,Georgia,United States of America,21,"5' 8""",162
Judson,San Jose Earthquakes,93,Midfielder,Arês,,Brazil,27,"5' 6""",143
Jukka Raitala,Montreal Impact,22,Defender,Helsinki,,Finland,32,"5' 11""",174
Julian Araujo,LA Galaxy,22,Defender,Lompoc,California,United States of America,19,"5' 9""",154
Julian Carranza,Inter Miami CF,21,Forward,Oncativo,,Argentina,20,"5' 9""",146
Julian Dunn,Toronto FC,5,Defender,Toronto,Ontario,Canada,20,"6' 1""",168
Julian Gressel,D.C. United,31,Midfielder,Neustadt an der Aisch,,Germany,26,"6' 1""",185
Julian Vazquez,Real Salt Lake,27,Forward,Nibley,Utah,United States of America,19,"5' 11""",145
Julio Cascante,Portland Timbers,18,Defender,Puerto Lim�n,,Costa Rica,27,"6' 2""",170
Junior Moreno,D.C. United,5,Midfielder,San Cristobal,,Venezuela,27,"5' 9""",154
Junior Urso,Orlando City SC,11,Midfielder,Taboão da Serra,,Brazil,31,"5' 11""",
Jurgen Damm,Atlanta United FC,22,Midfielder,Tuxpan,,Mexico,28,"6' 1""",148
Jurgen Locadia,FC Cincinnati,10,Forward,Emmen,,Netherlands,27,"6' 2""",174
Justen Glad,Real Salt Lake,15,Defender,Tucson,Arizona,United States of America,23,"6' 1""",160
Justin Che,FC Dallas,,Defender,Frisco,Texas,United States of America,17,"6' 1""",165
Justin Dhillon,Seattle Sounders FC,99,Forward,Rancho Santa Margarita,California,United States of America,25,"6' 3""",185
Justin Haak,New York City FC,80,Midfielder,Brooklyn,New York,United States of America,19,"6' 0""",165
Justin Meram,Real Salt Lake,9,Midfielder,Shelby Township,Missouri,United States of America,31,"6' 1""",165
Justin Morrow,Toronto FC,2,Defender,Cleveland,Ohio,United States of America,33,"5' 9""",153
Justin Portillo ,Real Salt Lake,43,Midfielder,New Orleans,Louisiana,United States of America,28,"5' 6""",134
Justin Rennicks,New England Revolution,12,Forward,South Hamilton,Massachusetts,United States of America,21,"5' 11""",165
Justin Vom Steeg,LA Galaxy,41,Goalkeeper,Santa Barbara,California,United States of America,23,"6' 4""",200
Kacper Przybylko,Philadelphia Union,23,Forward,Bielefeld,,Germany,27,"6' 4""",194
Kai Koreniuk,LA Galaxy,28,Midfielder,Daytona Beach,Florida,United States of America,22,"6' 0""",175
Kai Wagner,Philadelphia Union,27,Defender,Ulm,,Germany,23,"6' 0""",172
Kamal Miller,Orlando City SC,27,Defender,Pickering,Ontario,Canada,23,"6' 0""",185
Kamohelo Mokotjo ,FC Cincinnati,15,Midfielder,Odendaalsrus,,South Africa,29,"5' 7""",160
Karifa Yao,Montreal Impact,24,Defender,Laval,Quebec,Canada,20,"6' 2""",178
Keaton Parks,New York City FC,55,Midfielder,Plano,Texas,United States of America,23,"6' 3""",178
Keegan Rosenberry,Colorado Rapids,2,Defender,Ronks,Pennsylvania,United States of America,26,"5' 8""",160
Keesean Ferdinand,Montreal Impact,33,Defender,Rivière-des-Prairies,Quebec,Canada,17,"6' 0""",159
Kei Kamara,Minnesota United FC,16,Forward,Kenema,,Sierra Leone,36,"6' 3""",190
Kekuta Manneh,New England Revolution,31,Forward,Madiba Kunda,,Gambia,25,"5' 9""",140
Kellyn Acosta,Colorado Rapids,10,Midfielder,Plano,Texas,United States of America,25,"5' 10""",150
Kelvin Leerdam,Seattle Sounders FC,18,Defender,Utrecht,,Netherlands,30,"5' 10""",154
Kelyn Rowe,New England Revolution,11,Midfielder,Federal Way,Washington,United States of America,28,"5' 8""",150
Ken Tribbett,Nashville SC,16,Defender,Centennial,Colorado,United States of America,28,"6' 2""",170
Kendall McIntosh,New York Red Bulls,40,Goalkeeper,Santa Rosa,California,United States of America,26,"6' 0""",175
Kenneth Kronholm,Chicago Fire FC,18,Goalkeeper,Fort Belvoir,Virginia,United States of America,35,"6' 3""",183
Kenneth Vermeer,Los Angeles Football Club,1,Goalkeeper,Amsterdam,,Netherlands,34,"6' 0""",175
Kevin Molino,Minnesota United FC,7,Midfielder,Carenage,,Trinidad and Tobago,30,"5' 11""",145
Kevin Paredes,D.C. United,30,Midfielder,South Riding,Virginia,United States of America,17,"5' 6""",120
Kevin Partida,Minnesota United FC,,Midfielder,Sparks,Nevada,United States of America,25,"5' 8""",142
Kevin Silva,Toronto FC,90,Goalkeeper,Bethlehem,Pennsylvania,United States of America,22,"6' 0""",189
Khiry Shelton,Sporting Kansas City,11,Forward,Leander,Texas,United States of America,27,"6' 3""",185
Kortne Ford,Colorado Rapids,24,Defender,Greeley,Colorado,United States of America,24,"6' 2""",185
Krisztian Nemeth,Columbus Crew SC,,Forward,Gyor,,Hungary,31,"5' 11""",165
Kyle Adams FC,Houston Dynamo,32,Defender,Aukland,,New Zealand,24,"6' 2""",180
Kyle Beckerman,Real Salt Lake,5,Midfielder,Crofton,Maryland,United States of America,38,"5' 11""",165
Kyle Duncan,New York Red Bulls,6,Defender,Brooklyn,New York,United States of America,23,"5' 10""",139
Kyle Smith,Orlando City SC,24,Defender,Cincinnati,Ohio,United States of America,28,"5' 11""",180
Kyle Zobeck,FC Dallas,30,Goalkeeper,Coralville,Iowa,United States of America,30,"6' 0""",180
Lagos Kunga,Atlanta United FC,23,Midfielder/Forward,Clarkson,Georgia,United States of America,22,"5' 8""",154
Lalas Abubakar,Colorado Rapids,6,Defender,Accra,,Ghana,25,"6' 1""",185
Larrys Mabiala,Portland Timbers,33,Defender,Montfermeil,,France,33,"6' 2""",185
Lassi Lappalainen,Montreal Impact,21,Midfielder,Espoo,,Finland,22,"6' 0""",175
Latif Blessing,Los Angeles Football Club,7,Midfielder,Accra,,Ghana,23,"5' 7""",104
Laurence Wyke,Atlanta United FC,27,Midfielder,Bolton,,England,24,"6' 1""",180
Laurent Ciman,Toronto FC,26,Defender,Liège,,Belgium,35,"6' 0""",155
Leandro Gonzalez Pirez,Inter Miami CF,26,Defender,Buenos Aires,,Argentina,28,"6' 1""",
Lee Nguyen,New England Revolution,42,Midfielder,McKinney,Texas,United States of America,34,"5' 8""",150
Leonard Owusu,Vancouver Whitecaps FC,17,Midfielder,Accra,,Ghana,23,"5' 11""",160
Lewis Morgan,Inter Miami CF,7,Midfielder,Greenock,,Scotland,24,"5' 10""",163
Liam Fraser,Toronto FC,27,Midfielder,Surrey,British Columbia,Canada,22,"6' 1""",179
Lucas Cavallini,Vancouver Whitecaps FC,9,Forward,Mississauga,Ontario,Canada,27,"5' 10""",185
Lucas Zelarayan,Columbus Crew SC,10,Midfielder,Cordoba,,Argentina,28,"5' 8""",155
Luis Alberto Caicedo,New England Revolution,27,Midfielder,Apartadó,,Colombia,24,"5' 7""",155
Luis Amarilla,Minnesota United FC,9,Forward,Areguá,,Paraguay,25,"6' 0""",163
Luis Arriaga,Real Salt Lake,26,Midfielder,Santa Rosa,California,United States of America,19,"5' 7""",137
Luis Barraza,New York City FC,13,Goalkeeper,El Paso,Texas,United States of America,24,"6' 2""",195
Luis Binks,Montreal Impact,5,Defender,Gillingham,,England,19,"6' 2""",190
Luis Diaz,Columbus Crew SC,18,Midfielder,Nicoya,,Costa Rica,21,"5' 11""",159
Luis Felipe,San Jose Earthquakes,96,Midfielder,Mineola,New York,United States of America,24,"6' 1""",165
Luis Martins,Sporting Kansas City,36,Defender,Lamego,,Portugal,28,"5' 9""",150
Luis Robles,Inter Miami CF,31,Goalkeeper,Fort Huachuca,Arizona,United States of America,36,"6' 0""",200
Luka Stojanovic,Chicago Fire FC,8,Midfielder,Belgrade,,Serbia,26,"6' 2""",183
Luke Haakenson,Nashville SC,26,Midfielder,Maple Grove,Minnesota,United States of America,23,"5' 10""",175
Luke Mulholland,Real Salt Lake,19,Midfielder,Preston,,England,32,"5' 9""",150
Mahala Opoku,Los Angeles Football Club,,Forward,Accra,,Ghana,19,"5' 5""",155
Maikel Chang,Real Salt Lake,16,Midfielder,Havana,,Cuba,29,"5' 10""",174
Maikel van der Werff,FC Cincinnati,23,Defender,Hoorn,,Netherlands,31,"6' 1""",181
Mandela Egbo,New York Red Bulls,39,Defender,Brent,,England,23,"5' 11""",165
Manuel Castro,Atlanta United FC,15,Midfielder,Duranzo,,Uruguay,25,"5' 8""",
Marc Rzatkowski,New York Red Bulls,90,Midfielder,Bochum,,Germany,30,"5' 7""",143
Marcelino Moreno,Atlanta United FC,10,Midfielder,San Martin,,Argentina,25,"5' 6""",
Marcelo Palomino FC,Houston Dynamo,15,Midfielder,Houston,Texas,United States of America,19,"5' 6""",155
Marcelo Silva,Real Salt Lake,30,Defender,Mercedes,,Uruguay,31,"6' 2""",181
Marco Farfan,Portland Timbers,32,Defender,Portland,Oregon,United States of America,22,"5' 9""",150
Marcos Lopez,San Jose Earthquakes,27,Defender,Callao,,Peru,21,"5' 9""",148
Marcus Ferkranus,LA Galaxy,,Forward,Santa Clarita,California,United States of America,0,,
Mark McKenzie,Philadelphia Union,4,Defender,Bear,Delaware,United States of America,21,"5' 11""",185
Mark Segbers,Los Angeles Football Club,,Defender,St. Louis,Missouri,United States of America,24,"5' 9""",158
Mark-Anthony Kaye,Los Angeles Football Club,14,Midfielder,Toronto,Ontario,Canada,25,"6' 2""",154
Marko Maric FC,Houston Dynamo,1,Goalkeeper,Vienna,,Austria,24,"6' 3""",195
Marky Delgado,Toronto FC,8,Midfielder,Glendora,California,United States of America,25,"5' 9""",146
Marlon Hairston,Minnesota United FC,94,Midfielder,Jackson,Mississippi,United States of America,26,"6' 0""",157
Marvin Loria,Portland Timbers,44,Midfielder,San Jose,,Costa Rica,23,"5' 10""",170
Mason Stajduhar,Orlando City SC,31,Goalkeeper,Salem,Massachusetts,United States of America,22,"6' 2""",190
Mason Toye,Montreal Impact,13,Forward,South Orange,New Jersey,United States of America,22,"6' 3""",180
Matej Oravec,Philadelphia Union,24,Midfielder,Trvnava,,Slovakia,22,"6' 0""",165
Mateo Bajamich FC,Houston Dynamo,,Forward,Morrison,,Argentina,21,"5' 10""",165
Matheus Aias,Orlando City SC,99,Forward,Palmares Paulista,,Brazil,23,"5' 9""",
Matheus Rossetto,Atlanta United FC,9,Midfielder,Santo Amaro da Imperatriz,,Brazil,24,"5' 11""",
Mathias Jorgensen,New York Red Bulls,25,Forward,Hundested,,Denmark,20,"6' 0""",
Mathieu Choiniere,Montreal Impact,29,Midfielder,Saint-Alexandre,Quebec,Canada,21,"5' 6""",150
Matias Pellegrini,Inter Miami CF,11,Midfielder,Magdalena,,Argentina,20,"5' 9""",146
Matias Vera FC,Houston Dynamo,22,Midfielder,Merlo,,Argentina,25,"5' 7""",155
Matt Bersano,San Jose Earthquakes,12,Goalkeeper,Tempe,Arizona,United States of America,28,"6' 1""",185
Matt Besler,Sporting Kansas City,5,Defender,Overland Park,Kansas,United States of America,33,"6' 0""",170
Matt Freese,Philadelphia Union,1,Goalkeeper,Wayne,Pennsylvania,United States of America,22,"6' 4""",195
Matt Hedges,FC Dallas,24,Defender,Carmel,Indiana,United States of America,30,"6' 4""",185
Matt Hundley,Colorado Rapids,29,Forward,Littleton,Colorado,United States of America,20,"5' 10""",160
Matt LaGrassa,Nashville SC,22,Midfielder,Elk Grove,California,United States of America,27,"6' 0""",174
Matt Lampson,Columbus Crew SC,28,Goalkeeper,Hilliard,Ohio,United States of America,31,"6' 3""",200
Matt Polster,New England Revolution,8,Defender/Midfielder,Milwaukee,Wisconsin,United States of America,27,"6' 0""",170
Matt Turner,New England Revolution,30,Goalkeeper,Park Ridge,New Jersey,United States of America,26,"6' 3""",175
Matthew Real,Philadelphia Union,32,Defender,Drexel Hill,Pennsylvania,United States of America,21,"5' 11""",162
Mauricio Pereyra,Orlando City SC,10,Midfielder,Montevideo,,Uruguay,30,"5' 7""",145
Mauricio Pineda,Chicago Fire FC,22,Defender/Midfielder,Chicago,Illinois,United States of America,23,"6' 1""",171
Mauro Manotas FC,Houston Dynamo,9,Forward,Sabanalarga,,Colombia,25,"6' 0""",
Maxime Chanot,New York City FC,4,Defender,Nancy,,Fance,31,"6' 1""",172
Maxime Crepeau,Vancouver Whitecaps FC,16,Goalkeeper,Candiac,Quebec,Canada,26,"5' 11""",199
Maximiliano Moralez,New York City FC,10,Midfielder,Granadero Baigorria,,Argentina,33,"5' 3""",115
Maximiliano Urruti,Montreal Impact,37,Forward,Rosario,,Argentina,29,"6' 0""",165
Maynor Figueroa FC,Houston Dynamo,15,Defender,Jutiapa,,Honduras,37,"5' 11""",187
Memo Rodriguez FC,Houston Dynamo,8,Midfielder,El Campo,Texas,United States of America,24,"5' 8""",142
Michael Baldisimo,Vancouver Whitecaps FC,55,Midfielder,Burnaby,British Columbia,Canada,20,"5' 6""",150
Michael Barrios,FC Dallas,21,Midfielder,Barranquilla,,Colombia,29,"5' 4""",132
Michael Boxall,Minnesota United FC,15,Defender,Auckland,,New Zealand,32,"6' 2""",200
Michael Bradley,Toronto FC,4,Midfielder,Manhattan Beach,California,United States of America,33,"6' 2""",179
Michael Halliday,Orlando City SC,26,Defender,Apopka,Florida,United States of America,17,"6' 0""",158
Michael Mancienne,New England Revolution,13,Defender,Feltham,,England,32,"6' 1""",190
Michael Nelson FC,Houston Dynamo,26,Goalkeeper,Houston,Texas,United States of America,25,"6' 4""",180
Michael Salazar FC,Houston Dynamo,19,Forward,Cayo,,Belize,28,"5' 11""",165
Michee Ngalina,Philadelphia Union,20,Forward,Kinshasa,,Democratic Republic of Congo,20,"5' 11""",150
Miguel Angel Navarro,Chicago Fire FC,6,Defender,Maracaibo,,Venezuela,21,"5' 8""",146
Miguel Berry,Columbus Crew SC,27,Forward,Poway,California,United States of America,23,"6' 3""",180
Miguel Ibarra ,Seattle Sounders FC,11,Midfielder,Lancaster,California,United States of America,30,"5' 6""",145
Miguel Nazarit,Nashville SC,5,Defender,Cali,,Colombia,23,"6' 1""",172
Mikey Ambrose,Inter Miami CF,33,Defender,El Paso,Texas,United States of America,27,"5' 9""",165
Milan Iloski,Real Salt Lake,23,Forward,Escondido,California,United States of America,21,"5' 10""",155
Miles Robinson,Atlanta United FC,12,Defender,Arlington,Massachusetts,United States of America,23,"6' 2""",185
Milton Valenzuela,Columbus Crew SC,19,Defender,Rosario,,Argentina,22,"5' 6""",145
Mo Adams,Atlanta United FC,29,Midfielder,Nottingham,,England,24,"5' 6""",165
Mohamed El-Munir,Los Angeles Football Club,13,Defender,Tripoli,,Libya,28,"5' 9""",154
Mohamed Traore,Los Angeles Football Club,3,Defender,Dakar,,Senegal,18,"6' 1""",156
Mohammed Abu,D.C. United,25,Midfielder,Namasi,,Ghana,29,"5' 7""",150
Moses Nyeman,D.C. United,27,Midfielder,Riverdale Park,Maryland,United States of America,17,"5' 5""",135
Mustafa Kizza,Montreal Impact,,Defender,Kibuli,,Uganda,21,"6' 1""",
Nani,Orlando City SC,17,Midfielder,Amadora,,Portugal,34,"5' 10""",146
Nedum Onuoha,Real Salt Lake,14,Defender,Manchester,,England,34,"6' 0""",210
Nicholas Slonina,Chicago Fire FC,25,Defender,Addison,Illinois,United States of America,19,"6' 3""",200
Nick Besler,Real Salt Lake,13,Midfielder,Overland Park,Kansas,United States of America,27,"6' 1""",165
Nick DeLeon,Toronto FC,18,Midfielder,Phoenix,Arizona,United States of America,30,"5' 10""",170
Nick DePuy,LA Galaxy,20,Defender,Irvine,California,United States of America,26,"6' 5""",205
Nick Hagglund,FC Cincinnati,14,Defender,Cincinnati,Ohio,United States of America,28,"6' 1""",193
Nick Lima,San Jose Earthquakes,24,Defender,Castro Valley,California,United States of America,26,"5' 9""",177
Nico Lemoine FC,Houston Dynamo,17,Midfielder,Livermore,California,United States of America,20,"5' 8""",140
Nicolás Lodeiro,Seattle Sounders FC,10,Midfielder,Paysandu,,Uruguay,31,"5' 7""",152
Nicolas Acevedo,New York City FC,26,Midfielder,Montevideo,,Uruguay,21,"5' 8""",160
Nicolas Benezet,Colorado Rapids,9,Midfielder,Montpellier,,France,29,"5' 5""",134
Nicolas Figal,Inter Miami CF,5,Defender,Buenos Aires,,Argentina,26,"5' 11""",165
Nicolas Firmino,New England Revolution,29,Midfielder,Somerville,Massachusetts,United States of America,19,"5' 11""",155
Nicolas Mezquida,Colorado Rapids,20,Midfielder,Montevideo,,Uruguay,28,"5' 6""",150
Niki Jackson,Colorado Rapids,12,Forward,Scottsdale,Arizona,United States of America,25,"6' 1""",175
Niko Hansen FC,Houston Dynamo,12,Midfielder,Sacramento,California,United States of America,26,"5' 10""",170
Nkosi Burgess,FC Dallas,28,Defender,Manhattan,New York,United States of America,23,"6' 4""",185
Noah Billingsley,Minnesota United FC,2,Defender,Wellington,,New Zealand,23,"6' 2""",185
Noble Okello,Toronto FC,14,Midfielder,Toronto,Ontario,Canada,20,"6' 4""",170
Nouhou Tolo,Seattle Sounders FC,5,Defender,Douala,,Cameroon,23,"5' 10""",175
Ola Kamara,D.C. United,9,Forward,Oslo,,Norway,31,"6' 0""",181
Olivier Mbaizo,Philadelphia Union,15,Defender,Douala,,Cameroon,23,"5' 10""",155
Omar Gonzalez,Toronto FC,44,Defender,Dallas,Texas,United States of America,32,"6' 5""",205
Omir Fernandez,New York Red Bulls,21,Midfielder,Bronx,New York,United States of America,21,"5' 9""",
Oniel Fisher,D.C. United,91,Defender,Portmore,,Jamaica,29,"5' 9""",155
Oriol Rosell,Orlando City SC,20,Midfielder,Barcelona,,Spain,28,"6' 0""",168
Orji Okwonkwo,Montreal Impact,18,Midfielder,Benin City,,Nigeria,22,"5' 8""",160
Osvaldo Alonso,Minnesota United FC,6,Midfielder,San Cristobal,,Cuba,35,"5' 11""",165
Oswaldo Alanis,San Jose Earthquakes,4,Defender,Morelia,,Mexico,31,"6' 1""",180
Pablo Aranguiz,FC Dallas,10,Midfielder,Independencia,,Chile,23,"5' 8""",143
Pablo Bonilla,Portland Timbers,28,Defender,P�ritu,,Venezuela,20,"5' 8""",155
Pablo Piatti,Toronto FC,7,Midfielder,Ucacha,,Argentina,31,"5' 4""",139
Pablo Ruiz,Real Salt Lake,6,Midfielder,Comodoro Rivadavia,,Argentina,21,"5' 7""",145
Pablo Sisniega,Los Angeles Football Club,23,Goalkeeper,Mexico City,,Mexico,25,"6' 3""",175
Patrick Metcalfe,Vancouver Whitecaps FC,32,Midfielder,Richmond,British Columbia,Canada,22,"6' 0""",175
